Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/:id/seats,781,6,5,37.94622022844016,1.2514999834820628,2079.3200000189245,9832.166453265045,13.356500154942674,0.102610756632082,5,7,9,11,16,22,46,2000,2100,2100,2100
POST,POST /holds,1046,911,5,22.279600573531805,1.1544999433681369,2074.339299928397,56.43499043977055,17.888475239526297,15.57973321530445,5,7,8,10,14,20,31,43,2100,2100,2100
POST,POST /reservations/confirm,135,3,3,4.573035550614198,1.1964000295847654,42.84969996660948,174.75555555555556,2.308742024221845,0.051305378316041,3,4,5,6,9,13,19,21,43,43,43
,Aggregated,1962,920,5,27.297563709306296,1.1544999433681369,2079.3200000189245,3955.935270132518,33.553717418690816,15.733649350252573,5,7,9,10,14,21,33,1600,2100,2100,2100
