Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events/:id/seats,781,0,5,6.8388814333153745,1.1984000448137522,51.774200052022934,10269.856594110115,13.562036191864033,0.0,5,7,9,10,13,18,22,27,52,52,52
POST,POST /holds,1078,1077,5,5.963966977421422,1.2140999315306544,55.90829998254776,34.16141001855288,18.7194302366574,18.702065273543614,5,6,7,8,11,14,20,24,31,56,56
POST,POST /reservations/confirm,1,0,2.7172999689355493,2.7172999689355493,2.7172999689355493,2.7172999689355493,177.0,0.017364963113782373,0.0,3,3,3,3,3,3,3,3,3,3,3
,Aggregated,1860,1077,5,6.329591452176633,1.1984000448137522,55.90829998254776,4332.129569892473,32.29883139163521,18.702065273543614,5,7,8,9,12,16,21,25,52,56,56
